TIA	Tirana	Albania
EVN	Yerevan	Armenia
GRZ	Graz	Austria
INN	Innsbruck	Austria
KLU	Klagenfurt	Austria
LNZ	Linz	Austria
SZG	Salzburg	Austria
VIE	Vienna	Austria
GYD	Baku	Azerbaijan
KVD	Ganja	Azerbaijan
NAJ	Nakhchivan	Azerbaijan
MSQ	Minsk2	Belarus
ANR	Antwerp	Belgium
BRU	Brussels	Belgium
CRL	Charleroi	Belgium
LGG	Liege	Belgium
BNX	BanjaLuka	Bosnia and Herzegovina
SJJ	Sarajevo	Bosnia and Herzegovina
BOJ	Bourgas	Bulgaria
SOF	Sofia	Bulgaria
VAR	Varna	Bulgaria
BWK	Brac	Croatia
DBV	Dubrovnik	Croatia
OSI	Osijek	Croatia
PUY	Pula	Croatia
RJK	Rijeka	Croatia
SPU	Split	Croatia
ZAD	Zadar	Croatia
ZAG	Zagreb	Croatia
LCA	Larnaca	Cyprus
ECN	Nicosia	Cyprus
PFO	Paphos	Cyprus
OSR	Ostrava	Czech Republic
PRG	Prague	Czech Republic
BRQ	Turany	Czech Republic
AAL	Aalborg	Denmark
AAR	Aarhus	Denmark
BLL	Billund	Denmark
CPH	Copenhagen	Denmark
EBJ	Esbjerg	Denmark
KRP	Karup	Denmark
RNN	Ronne	Denmark
SGD	Soenderborg	Denmark
KDL	ArmariAirForceBase	Estonia
URE	Kuressaare	Estonia
EPU	Parnu	Estonia
TLL	Lennart Meri Tallinn	Estonia
TAY	Tartu	Estonia
FAE	Vagar	Faroe Islands
HEL	Helsinki	Finland
IVL	Ivalo	Finland
JOE	Joensuu	Finland
JYV	Jyvaskyla	Finland
KAJ	Kajaani	Finland
KEM	Kemi	Finland
KTT	Kittila	Finland
KOK	Kruunupyy	Finland
KUO	Kuopio	Finland
KAO	Kuusamo	Finland
LPP	Lappeenranta	Finland
OUL	Oulu	Finland
POR	Pori	Finland
RVN	Rovaniemi	Finland
SVL	Savonlinna	Finland
SJY	Seinäjoki/Ilmajoki	Finland
TMP	Tampere	Finland
TKU	Turku	Finland
VAA	Vaasa	Finland
VRK	Varkaus	Finland
AGF	Agen	France
AJA	Ajaccio	France
NCY	Annecy	France
AUR	Aurillac	France
AVN	Avignon	France
BIA	Bastia	France
BVA	Beauvais	France
EGC	Bergerac	France
BZR	Beziers	France
BIQ	Biarritz-bayonne	France
BOD	Bordeaux	France
BES	Brest	France
BVE	Brive	France
CLY	Calvi	France
CCF	Carcassonne	France
DCM	Castres	France
XCR	Chalons Vatry	France
CFE	Clermont-Ferrand	France
DOL	Deauville	France
DNR	Dinard	France
FSC	Figari	France
GNB	Grenoble	France
TLN	Hyeres	France
LTT	LaMôle	France
LAI	Lannion	France
LRH	La Rochelle	France
LEH	Le Havre	France
LIL	Lille	France
LIG	Limoges	France
LRT	Lorient	France
LYS	Lyon	France
MRS	Marseille	France
ETZ	Metz	France
MPL	Montpellier	France
MLH	Mulhouse	France
NTE	Nantes	France
NCE	Nice	France
FNI	Nimes	France
ORY	Paris	France
CDG	Paris	France
PUF	Pau	France
PGF	Perpignan	France
PIS	Poitiers	France
UIP	Quimper	France
RNS	Rennes	France
RDZ	Rodez	France
EBU	St.-Etienne	France
SNR	St.-Nazaire	France
SXB	Strassbourg	France
LDE	Tarbes	France
TLS	Toulouse	France
TUF	Tours	France
BUS	Batumi	Georgia
KUT	Kutaisi	Georgia
TBS	Tbilisi	Georgia
AOC	Altenburg	Germany
SXF	Berlin	Germany
TXL	Berlin	Germany
BWE	Braunschweig	Germany
BRE	Bremen	Germany
CGN	Cologne	Germany
DTM	Dortmund	Germany
DRS	Dresden	Germany
DUS	Duesseldorf	Germany
ERF	Erfurt	Germany
FRA	Frankfurt	Germany
FDH	Friedrichshafen	Germany
HHN	Hahn	Germany
HAM	Hamburg	Germany
HAJ	Hannover	Germany
HGL	Helgoland	Germany
HDF	Heringsdorf	Germany
HOQ	Hof	Germany
JUI	Juist	Germany
FKB	Karlsruhe-Baden	Germany
RLG	Laage	Germany
LEJ	Leipzig	Germany
LBC	Luebeck	Germany
MHG	Mannheim	Germany
FMM	Memmingen	Germany
FMO	Muenster Osnabrueck	Germany
MUC	Munich	Germany
NUE	Nuernberg	Germany
PAD	Paderborn	Germany
SCN	Saarbruecken	Germany
STR	Stuttgart	Germany
NRN	Weeze	Germany
GWT	Westerland	Germany
ZQW	Zweibruecken	Germany
GIB	Gibraltar	Gibraltar
AXD	Alexandroupolis	Greece
JTY	Astypalaia	Greece
ATH	Athens	Greece
CHQ	Chania	Greece
JKH	Chios	Greece
JNX	Cyclades Islands	Greece
HER	Heraklion	Greece
